nis_code,postal_code,name
36011,8810,Lichtervelde
36012,8890,Moorslede
36013,8800,Oekene
36014,8840,Oostnieuwkerke
36015,8800,Roeselare
36016,8880,Rollegem-Kapelle
36017,8800,Rumbeke
36018,8880,Sint-Eloois-Winkel
36019,8840,Staden
36020,8840,Westrozebeke
37001,8700,Aarsele
37002,8720,Dentergem
37003,8740,Egem
37004,8700,Kanegem
37005,8851,Koolskamp
37006,8720,Markegem
37007,8760,Meulebeke
37008,8720,Oeselgem
37009,8710,Ooigem
37010,8780,Oostrozebeke
37011,8740,Pittem
37012,8755,Ruiselede
37013,8700,Schuiferskapelle
37014,8710,Sint-Baafs-Vijve
37015,3390,Tielt
37016,8720,Wakken
37017,8710,Wielsbeke
37018,8750,Wingene
37019,8750,Zwevezele
37020,8850,#N/A
38001,8660,Adinkerke
38002,8690,Alveringem
38003,8630,Avekapelle
38004,8791,Beveren
38005,8630,Booitshoeke
38006,8630,Bulskamp
38007,8630,De Moeren
38008,8660,De Panne
38009,8630,Eggewaartskapelle
38010,8691,Gijverinkhove
38011,8690,Hoogstade
38012,8630,Houtem
38013,8691,Izenberge
38014,8670,Koksijde
38015,8691,Leisele
38016,8620,Nieuwpoort
38017,8690,Oeren
38018,8670,Oostduinkerke
38019,8600,Pervijze
38020,8301,Ramskapelle
38021,8620,Sint-Joris
38022,8690,Sint-Rijkers
38023,8691,Stavele
38024,8630,Steenkerke
38025,8630,Veurne
38026,8630,Vinkem
38027,8670,Wulpen
38028,8630,Wulveringem
38029,8630,Zoutenaaie
41001,9420,Aaigem
41002,3800,Aalst
41003,9400,Appelterre-Eichem
41004,9404,Aspelare
41005,9310,Baardegem
41006,9420,Bambrugge
41007,9520,Bavegem
41008,9552,Borsbeke
41009,9420,Burst
41010,9450,Denderhoutem
41011,9470,Denderleeuw
41012,9400,Denderwindeke
41013,9620,Elene
41014,9320,Erembodegem
41015,9420,Erondegem
41016,9420,Erpe
41017,9620,Erwetegem
41018,9500,Geraardsbergen
41019,9308,Gijzegem
41020,9620,Godveerdegem
41021,9500,Goeferdinge
41022,9506,Grimminge
41023,9620,Grotenberge
41024,9450,Haaltert
41025,9450,Heldergem
41026,9310,Herdersem
41027,9550,Herzele
41028,9550,Hillegem
41029,1981,Hofstade
41030,9472,Iddergem
41031,9506,Idegem
41032,9340,Impe
41033,9451,Kerksken
41034,9340,Lede
